name,Number.of.Bordering.Countries,Bordering.countries
Guyana,3,"Brazil: 1,119 km (695 mi) Suriname: 600 km (370 mi) Venezuela: 743 km (462 mi)"
Haiti,1,Dominican Republic: 360 km (220 mi)
Honduras,3,Guatemala: 256 km (159 mi) El Salvador: 342 km (213 mi) Nicaragua: 922 km (573 mi)
Hungary,7,Austria: 366 km (227 mi) Croatia: 329 km (204 mi) Romania: 443 km (275 mi) Serbia: 151 km (94 mi) Slovakia: 677 km (421 mi) Slovenia: 102 km (63 mi) Ukraine: 103 km (64 mi)
Iceland,0,
India,7,"Bangladesh (2): 4,053 km (2,518 mi) Bhutan: 605 km (376 mi) People's Republic of China (3): 3,488 km (2,167 mi) Myanmar: 1,463 km (909 mi) Nepal: 1,690 km (1,050 mi) Pakistan: 3,320 km (2,060 mi) Sri Lanka: 0.045 km (0.028 mi) on a land shoal on Ram Setu,[3] see also Borders of India."
Indonesia,3,"East Timor (2): 228 km (142 mi) Malaysia: 1,782 km (1,107 mi) Papua New Guinea: 820 km (510 mi)"
Iran,7,"Afghanistan: 936 km (582 mi) Armenia: 35 km (22 mi) Azerbaijan (2):[h] 611 km (380 mi) Iraq: 1,458 km (906 mi) Pakistan: 959 km (596 mi) Turkey: 499 km (310 mi) Turkmenistan: 992 km (616 mi)"
Iraq,6,"Iran: 1,458 km (906 mi) Jordan: 181 km (112 mi) Kuwait: 240 km (150 mi) Saudi Arabia: 814 km (506 mi) Syria: 605 km (376 mi) Turkey: 352 km (219 mi)"
Ireland,1,United Kingdom: 499 km (310 mi)
Israel,5,Egypt: 266 km (165 mi) Gaza Strip (State of Palestine):[v] 51 km (32 mi) Jordan: 238 km (148 mi) Lebanon: 79 km (49 mi) Syria: 76 km (47 mi) West Bank (state of Palestine):[v] 307 km (191 mi)
Italy,6,Austria: 430 km (270 mi) France: 488 km (303 mi) San Marino: 39 km (24 mi) Slovenia: 232 km (144 mi) Switzerland (2):[ad] 740 km (460 mi) Vatican City: 3.2 km (2.0 mi)
Jamaica,0,
Japan,0,
Jordan,5,Iraq: 181 km (112 mi) Israel: 238 km (148 mi) Saudi Arabia: 744 km (462 mi) Syria: 375 km (233 mi) West Bank (State of Palestine):[v] 97 km (60 mi)
Kazakhstan,5,"People's Republic of China: 1,533 km (953 mi) Kyrgyzstan: 1,051 km (653 mi) Russia: 6,846 km (4,254 mi) Turkmenistan: 379 km (235 mi) Uzbekistan: 2,203 km (1,369 mi)"
Kenya,5,Ethiopia: 861 km (535 mi) Somalia: 682 km (424 mi) South Sudan: 232 km (144 mi) Tanzania: 769 km (478 mi) Uganda: 933 km (580 mi)
Kosovo,4,Albania: 112 km (70 mi) Montenegro: 79 km (49 mi) North Macedonia: 159 km (99 mi) Serbia: 352 km (219 mi)
Kuwait,2,Iraq: 240 km (150 mi) Saudi Arabia: 222 km (138 mi)
Kyrgyzstan,4,"People's Republic of China: 858 km (533 mi) Kazakhstan: 1,051 km (653 mi) Tajikistan (3):[ae] 870 km (540 mi) Uzbekistan (6):[af] 1,099 km (683 mi)"
Laos,5,"Cambodia: 541 km (336 mi) People's Republic of China: 423 km (263 mi) Myanmar: 235 km (146 mi) Thailand: 1,754 km (1,090 mi) Vietnam: 2,130 km (1,320 mi)"
Latvia,4,Belarus: 141 km (88 mi) Estonia: 339 km (211 mi) Lithuania: 453 km (281 mi) Russia: 217 km (135 mi)
Lebanon,2,Israel: 79 km (49 mi) Syria: 375 km (233 mi)
Lesotho,1,South Africa: 909 km (565 mi)
Liberia,3,Guinea: 563 km (350 mi) Côte d'Ivoire: 716 km (445 mi) Sierra Leone: 306 km (190 mi)
Libya,6,"Algeria: 982 km (610 mi) Chad: 1,055 km (656 mi) Egypt: 1,115 km (693 mi) Niger: 354 km (220 mi) Sudan: 383 km (238 mi) Tunisia: 459 km (285 mi)"
Lithuania,4,Belarus: 502 km (312 mi) Latvia: 453 km (281 mi) Poland: 91 km (57 mi) Russia:[ag] 227 km (141 mi)
Luxembourg,3,Belgium: 148 km (92 mi) France: 73 km (45 mi) Germany: 138 km (86 mi)
Madagascar,0,
Malawi,3,"Mozambique: 1,569 km (975 mi) Tanzania: 475 km (295 mi) Zambia: 837 km (520 mi)"
Malaysia,3,"Brunei (2): 381 km (237 mi) Indonesia: 1,782 km (1,107 mi) Thailand: 506 km (314 mi)"
Mali,7,"Algeria: 1,376 km (855 mi) Burkina Faso: 1,000 km (620 mi) Côte d'Ivoire: 532 km (331 mi) Guinea: 858 km (533 mi) Mauritania: 2,237 km (1,390 mi) Niger: 821 km (510 mi) Senegal: 419 km (260 mi)"
Mauritania,4,"Algeria: 463 km (288 mi) Mali: 2,237 km (1,390 mi) Senegal: 813 km (505 mi) Western Sahara:[d] 1,561 km (970 mi)"
Mexico,3,"Belize: 250 km (160 mi) Guatemala: 962 km (598 mi) United States: 3,141 km (1,952 mi)"
Moldova,2,Romania: 450 km (280 mi) Ukraine: 939 km (583 mi)
Mongolia,2,"People's Republic of China: 4,677 km (2,906 mi) Russia: 3,485 km (2,165 mi)"
Montenegro,5,Albania: 172 km (107 mi) Bosnia and Herzegovina: 225 km (140 mi) Croatia: 25 km (16 mi) Kosovo:[c] 79 km (49 mi) Serbia: 124 km (77 mi)
Morocco,3,"Algeria: 1,559 km (969 mi) Western Sahara:[d] 443 km (275 mi) Spain (3): 17 km (11 mi)[aj]"
Mozambique,6,"Eswatini: 105 km (65 mi) Malawi: 1,569 km (975 mi) South Africa (2): 491 km (305 mi) Tanzania: 756 km (470 mi) Zambia: 419 km (260 mi) Zimbabwe: 1,231 km (765 mi)"
Myanmar,5,"Bangladesh: 193 km (120 mi) People's Republic of China: 2,185 km (1,358 mi) India: 1,463 km (909 mi) Laos: 235 km (146 mi) Thailand: 2,416 km (1,501 mi)"
N. Cyprus,0,
Namibia,4,"Angola: 1,376 km (855 mi) Botswana: 1,360 km (850 mi) South Africa: 967 km (601 mi) Zambia: 233 km (145 mi)"
Nepal,2,"People's Republic of China: 1,236 km (768 mi) India: 1,690 km (1,050 mi)"
Netherlands,2,Belgium (31):[m] 450 km (280 mi) Germany: 577 km (359 mi)
New Zealand,0,
Nicaragua,2,Costa Rica: 309 km (192 mi) Honduras: 922 km (573 mi)
Niger,7,"Algeria: 956 km (594 mi) Benin: 266 km (165 mi) Burkina Faso: 628 km (390 mi) Chad: 1,175 km (730 mi) Libya: 354 km (220 mi) Mali: 821 km (510 mi) Nigeria: 1,497 km (930 mi)"
Nigeria,4,"Benin: 773 km (480 mi) Cameroon: 1,690 km (1,050 mi) Chad: 87 km (54 mi) Niger: 1,497 km (930 mi)"
North Korea,3,"People's Republic of China: 1,416 km (880 mi) South Korea: 238 km (148 mi) Russia: 19 km (12 mi)"
North Macedonia,5,Albania: 151 km (94 mi) Bulgaria: 148 km (92 mi) Greece: 246 km (153 mi) Kosovo:[c] 159 km (99 mi) Serbia: 62 km (39 mi)
Norway,3,"Finland: 736 km (457 mi) Sweden: 1,619 km (1,006 mi) Russia: 196 km (122 mi)"
Oman,3,Saudi Arabia: 676 km (420 mi) United Arab Emirates (4): 410 km (250 mi) Yemen: 288 km (179 mi)
Pakistan,4,"Afghanistan: 2,670 km (1,660 mi) India: 3,320 km (2,060 mi) Iran: 959 km (596 mi) People's Republic of China: 596 km (370 mi)"
Palestine,3,Egypt: 11 km (6.8 mi) Israel (2): 358 km (222 mi) Jordan: 97 km (60 mi)
Panama,2,Colombia: 225 km (140 mi) Costa Rica: 330 km (210 mi)
Papua New Guinea,1,Indonesia: 820 km (510 mi)
Paraguay,3,"Argentina: 1,880 km (1,170 mi) Bolivia: 750 km (470 mi) Brazil: 1,290 km (800 mi)"
Peru,5,"Bolivia: 900 km (560 mi) Brazil: 1,560 km (970 mi) Chile: 160 km (99 mi) Colombia: 1,496 km (930 mi) Ecuador: 1,420 km (880 mi)"
Philippines,0,
Poland,7,Belarus: 407 km (253 mi) Czech Republic: 658 km (409 mi) Germany: 456 km (283 mi) Lithuania: 91 km (57 mi) Russia:[ag] 206 km (128 mi) Slovakia: 444 km (276 mi) Ukraine: 526 km (327 mi)
Portugal,1,"Spain: 1,214 km (754 mi)"
Qatar,1,Saudi Arabia: 60 km (37 mi)
Romania,5,Bulgaria: 608 km (378 mi) Hungary: 443 km (275 mi) Moldova: 450 km (280 mi) Serbia: 476 km (296 mi) Ukraine (2): 531 km (330 mi)[al]
Russia,14,"Azerbaijan: 284 km (176 mi) Belarus (2):[k] 959 km (596 mi) People's Republic of China (2): 3,645 km (2,265 mi) Estonia: 294 km (183 mi) Finland: 1,340 km (830 mi) Georgia: 723 km (449 mi) Kazakhstan: 6,846 km (4,254 mi) North Korea: 19 km (12 mi) Latvia: 217 km (135 mi) Lithuania:[ag] 227 km (141 mi) Mongolia: 3,485 km (2,165 mi) Norway: 196 km (122 mi) Poland:[ag] 206 km (128 mi) Ukraine: 1,576 km (979 mi)"
Rwanda,4,Burundi: 290 km (180 mi) Democratic Republic of the Congo: 217 km (135 mi) Tanzania: 217 km (135 mi) Uganda: 169 km (105 mi)
S. Sudan,6,"Central African Republic: 682 km (424 mi) Democratic Republic of the Congo: 628 km (390 mi) Ethiopia: 883 km (549 mi) Kenya: 232 km (144 mi) Sudan: 1,937 km (1,204 mi) Uganda: 435 km (270 mi)"
Saudi Arabia,8,"Bahrain: 0.196 km (0.122 mi) Iraq: 814 km (506 mi) Jordan: 744 km (462 mi) Kuwait: 222 km (138 mi) Oman: 676 km (420 mi) Qatar: 60 km (37 mi) United Arab Emirates: 457 km (284 mi) Yemen: 1,458 km (906 mi)"
Senegal,5,The Gambia: 740 km (460 mi) Guinea: 330 km (210 mi) Guinea-Bissau: 338 km (210 mi) Mali: 419 km (260 mi) Mauritania: 813 km (505 mi)
Serbia,8,Bosnia and Herzegovina (2):[n] 302 km (188 mi) Bulgaria: 318 km (198 mi) Croatia: 241 km (150 mi) Hungary: 151 km (94 mi) Kosovo:[c] 352 km (219 mi) Montenegro: 124 km (77 mi) North Macedonia: 62 km (39 mi) Romania: 476 km (296 mi)
Sierra Leone,2,Guinea: 652 km (405 mi) Liberia: 306 km (190 mi)
Slovakia,5,Austria: 96 km (60 mi) Czech Republic: 215 km (134 mi) Hungary: 677 km (421 mi) Poland: 444 km (276 mi) Ukraine: 91 km (57 mi)
Slovenia,4,Austria: 330 km (210 mi) Croatia: 670 km (420 mi) Italy: 232 km (144 mi) Hungary: 102 km (63 mi)
Solomon Is.,0,
Somalia,4,"Djibouti: 61 km (38 mi) Ethiopia: 1,600 km (990 mi) Kenya: 682 km (424 mi) Somaliland: 407 km (253 mi)"
Somaliland,3,"Djibouti: 61 km (38 mi) Ethiopia: 1,600 km (990 mi) Somalia: 407 km (253 mi)"
South Africa,6,"Botswana: 1,840 km (1,140 mi) Eswatini: 430 km (270 mi) Lesotho: 909 km (565 mi) Mozambique (2): 491 km (305 mi) Namibia: 967 km (601 mi) Zimbabwe: 225 km (140 mi)"
South Korea,1,North Korea: 238 km (148 mi)
Spain,5,"Andorra: 63.7 km (39.6 mi) France (3):[w] 623 km (387 mi) Gibraltar (United Kingdom): 1.2 km (0.75 mi) Portugal: 1,214 km (754 mi) Morocco (3): 17 km (11 mi)[aj]"
Sri Lanka,0,
